CDP Mission Control1#10.111.4.198#5198#1#0#CA-50-9B-AA-3D-D5
CDP Mission Control2#10.111.4.199#5199#0#1#7F-3B-63-FB-68-44
CDP Mission Control 3#10.111.4.197#5197#0#2#91-37-CF-4D-C7-5A
RADAR Display 1#10.111.4.5#5005#1#3#1D-4B-4D-11-EA-AA
RADAR Display 2#10.111.4.6#5006#0#4#6C-AC-74-37-F6-E5
RADAR Display 3#10.111.4.7#5007#0#5#4C-8B-67-EB-2E-4A
EOTS Terminal 1#10.111.4.53#5053#0#6#50-65-09-9F-57-08
EOTS Terminal 2#10.111.4.55#5055#1#7#73-9B-FE-2F-BA-02
EOTS Terminal 3#10.111.4.59#5059#1#8#7B-E9-6C-FD-01-EB
Telemetry WorkStation 1#10.111.4.100#5100#0#9#B7-97-EE-62-9C-14
Telemetry WorkStation 2#10.111.4.101#5101#1#10#CA-1B-C6-3E-AC-D8
Telemetry WorkStation 3#10.111.4.104#5104#1#11#A2-89-7D-76-96-CF
Flight Safety Control 1#10.111.4.126#5126#1#12#BF-9B-97-6A-D4-2B
Flight Safety Control 2#10.111.4.129#5129#1#13#73-50-25-12-C4-97
Target Systems Display 1#10.111.4.222#5222#0#14#6D-33-FE-25-62-59
Target Systems Display 2#10.111.4.225#5225#1#15#5F-AC-60-28-EB-95
